,day,startDate,stopDate,dayPath,cand,candPath,model,fitPath,json,fitBool,sampling_time,sampler,log_evidence,log_evidence_err,log_noise_evidence,log_bayes_factor
59,2459784-2459791,2022-07-23 12:00:00,2022-07-30 12:00:00,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/,ZTF22aauqyuf,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/lc_ZTF22aauqyuf_forced1_stacked0.csv,Bu2019lm,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aauqyuf/,,False,,,,,,
58,2459784-2459791,2022-07-23 12:00:00,2022-07-30 12:00:00,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/,ZTF22aauqyuf,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/lc_ZTF22aauqyuf_forced1_stacked0.csv,Piro2021,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aauqyuf/,,False,,,,,,
56,2459784-2459791,2022-07-23 12:00:00,2022-07-30 12:00:00,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/,ZTF22aauqyuf,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/lc_ZTF22aauqyuf_forced1_stacked0.csv,TrPi2018,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aauqyuf/,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aauqyuf/TrPi2018_result.json,True,1590.065799,pymultinest,-5.726731371954276,0.1848643446932207,0.0,-5.726731371954276
57,2459784-2459791,2022-07-23 12:00:00,2022-07-30 12:00:00,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/,ZTF22aauqyuf,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/lc_ZTF22aauqyuf_forced1_stacked0.csv,nugent-hyper,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aauqyuf/,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aauqyuf/nugent-hyper_result.json,True,16.305862,pymultinest,-2.3699430963788797,0.0434212673085507,0.0,-2.3699430963788797
63,2459784-2459791,2022-07-23 12:00:00,2022-07-30 12:00:00,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/,ZTF22aavxvmy,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/lc_ZTF22aavxvmy_forced1_stacked0.csv,Bu2019lm,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aavxvmy/,,False,,,,,,
62,2459784-2459791,2022-07-23 12:00:00,2022-07-30 12:00:00,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/,ZTF22aavxvmy,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/lc_ZTF22aavxvmy_forced1_stacked0.csv,Piro2021,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aavxvmy/,,False,,,,,,
60,2459784-2459791,2022-07-23 12:00:00,2022-07-30 12:00:00,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/,ZTF22aavxvmy,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/lc_ZTF22aavxvmy_forced1_stacked0.csv,TrPi2018,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aavxvmy/,,False,,,,,,
61,2459784-2459791,2022-07-23 12:00:00,2022-07-30 12:00:00,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/,ZTF22aavxvmy,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/lc_ZTF22aavxvmy_forced1_stacked0.csv,nugent-hyper,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aavxvmy/,,False,,,,,,
67,2459784-2459791,2022-07-23 12:00:00,2022-07-30 12:00:00,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/,ZTF22aawacjw,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/lc_ZTF22aawacjw_forced1_stacked0.csv,Bu2019lm,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aawacjw/,,False,,,,,,
66,2459784-2459791,2022-07-23 12:00:00,2022-07-30 12:00:00,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/,ZTF22aawacjw,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/lc_ZTF22aawacjw_forced1_stacked0.csv,Piro2021,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aawacjw/,,False,,,,,,
64,2459784-2459791,2022-07-23 12:00:00,2022-07-30 12:00:00,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/,ZTF22aawacjw,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/lc_ZTF22aawacjw_forced1_stacked0.csv,TrPi2018,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aawacjw/,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aawacjw/TrPi2018_result.json,True,8625.872723,pymultinest,-45.27331538228998,0.25349423790080766,0.0,-45.27331538228998
65,2459784-2459791,2022-07-23 12:00:00,2022-07-30 12:00:00,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/,ZTF22aawacjw,./candidate_data/pipelineStructureExample/candidates/partnership/2459784-2459791/lc_ZTF22aawacjw_forced1_stacked0.csv,nugent-hyper,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aawacjw/,./candidate_data/pipelineStructureExample/candidate_fits/2459784-2459791/ZTF22aawacjw/nugent-hyper_result.json,True,53.029788,pymultinest,-71.53226958633093,0.10190759637319163,0.0,-71.53226958633093
